timestamps,TP9,AF7,AF8,TP10,Right AUX
1776092207.716,-42.480,-22.949,-16.113,-41.504,0.000
1776092207.720,-195.312,-11.719,-12.207,-109.863,0.000
1776092207.724,-80.078,-13.184,-15.137,-57.617,0.000
1776092207.728,141.113,-25.879,-21.973,51.758,0.000
1776092207.731,43.457,-19.043,-25.391,11.230,0.000
1776092207.735,-176.758,-12.207,-16.113,-90.332,0.000
1776092207.739,-130.859,-16.602,-7.812,-66.406,0.000
1776092207.743,99.121,-7.812,-17.578,37.598,0.000
1776092207.747,95.215,-9.766,-32.227,37.598,0.000
1776092207.751,-150.391,-29.297,-31.250,-78.125,0.000
1776092207.755,-171.875,-20.020,-20.996,-97.168,0.000
1776092207.759,34.180,-11.719,-20.996,-7.812,0.000
1776092207.763,138.672,-21.484,-26.367,48.828,0.000
1776092207.767,-91.797,-29.297,-24.414,-47.363,0.000
1776092207.771,-203.613,-32.227,-26.367,-108.398,0.000
1776092207.774,-49.316,-29.297,-40.039,-51.758,0.000
1776092207.778,132.324,-31.250,-42.480,29.785,0.000
1776092207.782,-25.879,-33.203,-21.484,-29.785,0.000
1776092207.786,-206.055,-30.762,-12.695,-103.516,0.000
1776092207.790,-117.676,-34.180,-34.668,-69.824,0.000
1776092207.794,111.328,-38.574,-42.480,26.855,0.000
1776092207.798,42.969,-30.762,-29.785,0.488,0.000
1776092207.802,-183.594,-27.832,-29.297,-107.422,0.000
1776092207.806,-158.691,-32.227,-20.996,-99.121,0.000
1776092207.810,77.148,-29.297,-18.066,12.207,0.000
1776092207.813,98.145,-32.715,-36.621,22.949,0.000
1776092207.817,-154.297,-37.598,-37.109,-90.820,0.000
1776092207.821,-203.125,-28.320,-28.809,-117.676,0.000
1776092207.825,-0.977,-5.371,-23.926,-24.902,0.000
1776092207.829,131.836,-15.625,-21.973,46.875,0.000
1776092207.833,-79.590,-34.180,-17.090,-47.852,0.000
1776092207.837,-203.613,-27.832,-12.207,-112.793,0.000
1776092207.841,-61.523,-25.391,-20.508,-49.316,0.000
1776092207.845,138.672,-18.555,-22.461,48.828,0.000
1776092207.849,-5.371,-19.043,-20.996,-23.438,0.000
1776092207.853,-197.754,-27.832,-23.438,-112.305,0.000
1776092207.856,-117.188,-19.043,-14.160,-69.336,0.000
